epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5954882,1.7262617568048406,0.7765205,0.3781643,0.6944639,1.5360467089547052,0.79827917,0.5851437
1,0.66626483,1.5381955870544108,0.8115484,0.48648185,0.73931324,1.3951309892866346,0.8312679,0.6110722
2,0.7067332,1.4252179998815295,0.82938755,0.5550198,0.7764541,1.2896485024028355,0.867031,0.66713387
3,0.74978477,1.3038299331489314,0.8562974,0.62286896,0.8100911,1.2269503116607665,0.8801762,0.7000701
4,0.78439814,1.2418546308764127,0.8667259,0.67194766,0.8065872,1.185485711362627,0.8815126,0.7351086
5,0.79920787,1.1840442839476828,0.87899053,0.70173925,0.83601964,1.124841234419081,0.89160556,0.7666433
6,0.81763387,1.1247021380484115,0.8940342,0.7380747,0.8423266,1.096373822953966,0.89830506,0.77995795
7,0.83554333,1.0825593906732358,0.89141005,0.7577062,0.847232,1.0604900783962674,0.906051,0.79747725
8,0.8570691,1.0407309558236786,0.9141657,0.786809,0.8577435,1.0651629911528693,0.9087333,0.8093903
9,0.8723954,0.986938214741374,0.9197652,0.809368,0.8675543,1.0347052454948424,0.91079813,0.81569725
10,0.8834166,0.9646221031230351,0.92971617,0.8291717,0.8647512,1.0449546919928656,0.9109747,0.831815
11,0.8961598,0.938048547037255,0.93495625,0.8465645,0.880869,1.0122082538074917,0.91495824,0.8444289
12,0.9037369,0.9146907205258956,0.9404023,0.8613742,0.880869,1.0145293871561687,0.91864926,0.8388227
13,0.9171689,0.8688673445705047,0.9443931,0.88031685,0.88857746,0.9860479142930773,0.92156863,0.85634196
14,0.92044085,0.8634762499774613,0.94760066,0.8875495,0.89488435,0.9951706449190776,0.93019724,0.85914505
15,0.92905116,0.8442411393476309,0.954512,0.8925435,0.8902778,0.9854267438252767,0.92136496,0.8625
16,0.935595,0.8301020475864328,0.95879674,0.9056311,0.9039944,0.9523439698749119,0.93188626,0.8724597
17,0.9416222,0.8153655411598911,0.96372586,0.9104529,0.8983882,0.9687825746006435,0.92830473,0.87105817
18,0.95161015,0.7969481560332816,0.9688961,0.9280179,0.88857746,0.978558788034651,0.9212303,0.8605466
19,0.9571207,0.7742526872506625,0.9706409,0.9337007,0.90189207,0.9441851483450996,0.92788106,0.874562
20,0.94919926,0.7887842420745844,0.96682805,0.9285345,0.89978975,0.9639017886585659,0.9243884,0.87386125
21,0.96125364,0.7622651948110976,0.97732955,0.94282764,0.9011913,0.9496049284934998,0.9273128,0.8850736
22,0.9640089,0.7488457467031701,0.97801214,0.9421388,0.9060967,0.9557738873693679,0.9282544,0.8794674
23,0.96986395,0.7386918296209605,0.98189884,0.9528156,0.9053959,0.9518151680628458,0.9316493,0.87876666
24,0.96951956,0.7433941661028519,0.9803261,0.95247114,0.90749824,0.9522522264056735,0.9303188,0.8794674
25,0.96969175,0.7329659571186984,0.98002124,0.95453763,0.9103013,0.9671100033654108,0.9318013,0.880869
26,0.9755468,0.7182373351436567,0.9851695,0.96090925,0.9131044,0.94009620613522,0.93200296,0.88367206
27,0.9733081,0.7272422910660418,0.9842366,0.9569485,0.9138052,0.9383105516433716,0.9315673,0.8871759
28,0.9796797,0.711557876330882,0.98873436,0.96728086,0.9103013,0.939593325720893,0.9362491,0.8850736
29,0.9798519,0.7125600322462594,0.9870107,0.9683141,0.9103013,0.9416123072306315,0.9298893,0.8829713
30,0.98312384,0.6950247263937126,0.98984414,0.9734803,0.9103013,0.9330099993281894,0.9362491,0.8850736
31,0.9826072,0.697699509452004,0.9907115,0.9734803,0.91450596,0.9325310985247294,0.9303519,0.88927823
32,0.9819184,0.7044176178892446,0.9877451,0.971586,0.9110021,0.956170744366116,0.93759286,0.88437283
33,0.9848459,0.690113794512114,0.98914754,0.9731359,0.89978975,0.9530537684758504,0.9257353,0.8822705
34,0.98794556,0.6868023349513321,0.9917933,0.97812986,0.90960056,0.9289272798432244,0.9284661,0.8822705
35,0.98725677,0.6908509307172883,0.9919637,0.9777854,0.9110021,0.9162814060846964,0.93412286,0.88437283
36,0.9862235,0.6791136036112979,0.99197906,0.9796797,0.9088998,0.9367443548308478,0.9295154,0.8871759
37,0.98983985,0.6792077363430375,0.9944144,0.98105735,0.908199,0.9328230698903401,0.93026704,0.87876666
38,0.9912175,0.6811504933167719,0.99477077,0.9827794,0.908199,0.9168390843603346,0.931213,0.8822705
39,0.9907009,0.6678336841300122,0.9940725,0.9819184,0.9138052,0.9264287100897894,0.9304539,0.8906798
40,0.99001205,0.6667496988895285,0.9930616,0.9858791,0.9053959,0.9388115604718527,0.92762184,0.8801682
41,0.98932326,0.6772058620620394,0.9935484,0.98122954,0.9159075,0.9082322835922241,0.93763757,0.8955851
42,0.99190634,0.6619640309572097,0.9944483,0.98708457,0.9159075,0.9290672977765401,0.9337748,0.88927823
43,0.993284,0.6676992922944335,0.9954806,0.9862235,0.9060967,0.9072121871842278,0.9294636,0.88647515
44,0.9910453,0.6658181188561039,0.9951296,0.9851903,0.9110021,0.9390042649375068,0.93030083,0.88857746
45,0.9948338,0.6538156937337566,0.9963643,0.9910453,0.9159075,0.9236471652984619,0.9300801,0.89488435
46,0.9908731,0.665207693462674,0.99340624,0.9858791,0.9159075,0.9194289286931355,0.9382353,0.8941836
47,0.99207854,0.6620115711168801,0.9946246,0.98777336,0.91730905,0.9172754963239034,0.93118596,0.8913805
